"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"04.01.2021 09:30 - 04.01.2021 09:45","59711","68097"
"04.01.2021 09:45 - 04.01.2021 10:00","60048","68473"
"04.01.2021 10:00 - 04.01.2021 10:15","60420","68653"
"04.01.2021 10:15 - 04.01.2021 10:30","60724","69033"
"04.01.2021 10:30 - 04.01.2021 10:45","61370","69332"
"04.01.2021 10:45 - 04.01.2021 11:00","62220","69766"
"04.01.2021 11:00 - 04.01.2021 11:15","62427","70335"
"04.01.2021 11:15 - 04.01.2021 11:30","62930","70877"
"04.01.2021 11:30 - 04.01.2021 11:45","63374","71275"
"04.01.2021 11:45 - 04.01.2021 12:00","63260","71560"
"04.01.2021 12:00 - 04.01.2021 12:15","62886","71766"
"04.01.2021 12:15 - 04.01.2021 12:30","62939","71751"
"04.01.2021 12:30 - 04.01.2021 12:45","62876","71742"
"04.01.2021 12:45 - 04.01.2021 13:00","62743","71472"
"04.01.2021 13:00 - 04.01.2021 13:15","62630","71381"
"04.01.2021 13:15 - 04.01.2021 13:30","62301","71211"
"04.01.2021 13:30 - 04.01.2021 13:45","61803","70925"
"04.01.2021 13:45 - 04.01.2021 14:00","61105","70248"
"04.01.2021 14:00 - 04.01.2021 14:15","61030","70273"
"04.01.2021 14:15 - 04.01.2021 14:30","60786","69970"
"04.01.2021 14:30 - 04.01.2021 14:45","60754","69819"
"04.01.2021 14:45 - 04.01.2021 15:00","60475","69633"
"04.01.2021 15:00 - 04.01.2021 15:15","60414","70036"
"04.01.2021 15:15 - 04.01.2021 15:30","59873","69777"
"04.01.2021 15:30 - 04.01.2021 15:45","59912","69584"
"04.01.2021 15:45 - 04.01.2021 16:00","59777","69326"
"04.01.2021 16:00 - 04.01.2021 16:15","59842","69993"
"04.01.2021 16:15 - 04.01.2021 16:30","60281","70131"
"04.01.2021 16:30 - 04.01.2021 16:45","60743","70662"
"04.01.2021 16:45 - 04.01.2021 17:00","61363","71450"
"04.01.2021 17:00 - 04.01.2021 17:15","61839","72020"
"04.01.2021 17:15 - 04.01.2021 17:30","62562","72402"
"04.01.2021 17:30 - 04.01.2021 17:45","63434","72638"
"04.01.2021 17:45 - 04.01.2021 18:00","63833","72798"
"04.01.2021 18:00 - 04.01.2021 18:15","63599","72545"
"04.01.2021 18:15 - 04.01.2021 18:30","63725","72149"
"04.01.2021 18:30 - 04.01.2021 18:45","63433","71941"
"04.01.2021 18:45 - 04.01.2021 19:00","63578","71381"
"04.01.2021 19:00 - 04.01.2021 19:15","63025","70868"
"04.01.2021 19:15 - 04.01.2021 19:30","62095","70347"
"04.01.2021 19:30 - 04.01.2021 19:45","61810","69836"
"04.01.2021 19:45 - 04.01.2021 20:00","61162","68988"
"04.01.2021 20:00 - 04.01.2021 20:15","60032","67993"
"04.01.2021 20:15 - 04.01.2021 20:30","58670","66996"
"04.01.2021 20:30 - 04.01.2021 20:45","57794","65971"
"04.01.2021 20:45 - 04.01.2021 21:00","56993","64984"
"04.01.2021 21:00 - 04.01.2021 21:15","56515","64331"
"04.01.2021 21:15 - 04.01.2021 21:30","56230","63580"
"04.01.2021 21:30 - 04.01.2021 21:45","55286","62822"
"04.01.2021 21:45 - 04.01.2021 22:00","54946","61970"
"04.01.2021 22:00 - 04.01.2021 22:15","55114","61869"
"04.01.2021 22:15 - 04.01.2021 22:30","54513","61228"
"04.01.2021 22:30 - 04.01.2021 22:45","53909","60047"
"04.01.2021 22:45 - 04.01.2021 23:00","52959","59103"
"04.01.2021 23:00 - 04.01.2021 23:15","51919","58077"
"04.01.2021 23:15 - 04.01.2021 23:30","51087","57327"
"04.01.2021 23:30 - 04.01.2021 23:45","50345","56700"
"04.01.2021 23:45 - 05.01.2021 00:00","49886","56042"
"05.01.2021 00:00 - 05.01.2021 00:15","46496","54196"
"05.01.2021 00:15 - 05.01.2021 00:30","45804","53136"
"05.01.2021 00:30 - 05.01.2021 00:45","45453","52547"
"05.01.2021 00:45 - 05.01.2021 01:00","44930","52199"
"05.01.2021 01:00 - 05.01.2021 01:15","44292","52005"
"05.01.2021 01:15 - 05.01.2021 01:30","43746","51740"
"05.01.2021 01:30 - 05.01.2021 01:45","43364","51362"
"05.01.2021 01:45 - 05.01.2021 02:00","43272","50996"
"05.01.2021 02:00 - 05.01.2021 02:15","43327","50663"
"05.01.2021 02:15 - 05.01.2021 02:30","43287","50462"
"05.01.2021 02:30 - 05.01.2021 02:45","43341","50248"
"05.01.2021 02:45 - 05.01.2021 03:00","43451","50486"
"05.01.2021 03:00 - 05.01.2021 03:15","43416","50712"
"05.01.2021 03:15 - 05.01.2021 03:30","43979","50714"
"05.01.2021 03:30 - 05.01.2021 03:45","43954","50825"
"05.01.2021 03:45 - 05.01.2021 04:00","44056","50917"
"05.01.2021 04:00 - 05.01.2021 04:15","44401","51228"
"05.01.2021 04:15 - 05.01.2021 04:30","44789","51330"
"05.01.2021 04:30 - 05.01.2021 04:45","45025","51579"
"05.01.2021 04:45 - 05.01.2021 05:00","45501","51763"
"05.01.2021 05:00 - 05.01.2021 05:15","46193","53151"
"05.01.2021 05:15 - 05.01.2021 05:30","46704","53512"
"05.01.2021 05:30 - 05.01.2021 05:45","47343","54093"
"05.01.2021 05:45 - 05.01.2021 06:00","48211","55357"
"05.01.2021 06:00 - 05.01.2021 06:15","50197","57625"
"05.01.2021 06:15 - 05.01.2021 06:30","51806","59037"
"05.01.2021 06:30 - 05.01.2021 06:45","52943","60055"
"05.01.2021 06:45 - 05.01.2021 07:00","54274","61185"
"05.01.2021 07:00 - 05.01.2021 07:15","55760","63167"
"05.01.2021 07:15 - 05.01.2021 07:30","55233","63971"
"05.01.2021 07:30 - 05.01.2021 07:45","56169","64980"
"05.01.2021 07:45 - 05.01.2021 08:00","56969","66175"
"05.01.2021 08:00 - 05.01.2021 08:15","58094","67053"
"05.01.2021 08:15 - 05.01.2021 08:30","58437","67659"
"05.01.2021 08:30 - 05.01.2021 08:45","58523","68015"
"05.01.2021 08:45 - 05.01.2021 09:00","59096","68345"
"05.01.2021 09:00 - 05.01.2021 09:15","59108","68892"
"05.01.2021 09:15 - 05.01.2021 09:30","59826","69354"
"05.01.2021 09:30 - 05.01.2021 09:45","60540","69697"
"05.01.2021 09:45 - 05.01.2021 10:00","60988","69813"
"05.01.2021 10:00 - 05.01.2021 10:15","61167","69831"
